Elapsed Time (ms),Coarse Encoder Counts (6B),Coarse Degree
13517,E68FEB,-115.44965373961217
13518,E69094,-115.43795013850415
13519,E691E6,-115.4145429362881
13520,E6928F,-115.40283933518006
13521,E693E1,-115.37943213296398
13522,E6948A,-115.36772853185596
13523,E695DC,-115.34432132963988
13524,E69685,-115.33261772853186
13525,E697D7,-115.3092105263158
13526,E69880,-115.29750692520776
13527,E699D2,-115.27409972299169
13528,E69A7B,-115.26239612188367
13529,E69BCD,-115.23898891966759
13530,E69C76,-115.22728531855955
13531,E69D1F,-115.21558171745153
13532,E69E71,-115.19217451523545
13533,E69F1A,-115.18047091412743
13534,E6A06C,-115.15706371191136
13535,E6A115,-115.14536011080332
13536,E6A267,-115.12195290858726
13537,E6A310,-115.11024930747924
13538,E6A3B9,-115.09854570637118
13539,E6A50B,-115.07513850415513
13540,E6A5B4,-115.0634349030471
13541,E6A706,-115.04002770083102
13542,E6A7AF,-115.028324099723
13543,E6A901,-115.00491689750692
13544,E6A9AA,-114.99321329639889
13545,E6AA53,-114.98150969529085
13546,E6ABA5,-114.95810249307479
13547,E6AC4E,-114.94639889196675
13548,E6ADA0,-114.9229916897507
13549,E6AE49,-114.91128808864266
13550,E6AEF2,-114.89958448753463
13551,E6B044,-114.87617728531856
13552,E6B0ED,-114.86447368421054
13553,E6B23F,-114.84106648199446
13554,E6B2E8,-114.82936288088644
13555,E6B391,-114.8176592797784
13556,E6B4E3,-114.79425207756232
13557,E6B58C,-114.7825484764543
13558,E6B635,-114.77084487534627
13559,E6B787,-114.7474376731302
13560,E6B830,-114.73573407202217
13561,E6B982,-114.71232686980609
13562,E6BA2B,-114.70062326869805
13563,E6BB7D,-114.677216066482
13564,E6BC26,-114.66551246537396
13565,E6BCCF,-114.65380886426593
13566,E6BE21,-114.63040166204986
13567,E6BECA,-114.61869806094184
13568,E6BF73,-114.60699445983379
13569,E6C0C5,-114.58358725761774
13570,E6C16E,-114.5718836565097
13571,E6C2C0,-114.54847645429362
13572,E6C369,-114.5367728531856
13573,E6C412,-114.52506925207757
13574,E6C564,-114.5016620498615
13575,E6C60D,-114.48995844875347
13576,E6C75F,-114.46655124653739
13577,E6C808,-114.45484764542935
13578,E6C8B1,-114.44314404432133
13579,E6CA03,-114.41973684210527
13580,E6CAAC,-114.40803324099723
13581,E6CBFE,-114.38462603878116
13582,E6CCA7,-114.37292243767314
13583,E6CD50,-114.36121883656509
13584,E6CEA2,-114.33781163434904
13585,E6CF4B,-114.326108033241
13586,E6D09D,-114.30270083102492
13587,E6D146,-114.2909972299169
13588,E6D1EF,-114.27929362880887
13589,E6D341,-114.2558864265928
13590,E6D3EA,-114.24418282548477
13591,E6D53C,-114.2207756232687
13592,E6D5E5,-114.20907202216065
13593,E6D737,-114.1856648199446
13594,E6D7E0,-114.17396121883658
13595,E6D889,-114.16225761772853
13596,E6D9DB,-114.13885041551247
13597,E6DA84,-114.12714681440444
13598,E6DBD6,-114.10373961218836
13599,E6DC7F,-114.09203601108034
13600,E6DDD1,-114.06862880886426
13601,E6DE7A,-114.05692520775624
13602,E6DF23,-114.0452216066482
13603,E6E075,-114.02181440443212
13604,E6E11E,-114.0101108033241
13605,E6E270,-113.98670360110803
13607,E6E319,-113.975
13608,E6E46B,-113.95159279778393
13609,E6E514,-113.9398891966759
13610,E6E5BD,-113.92818559556788
13611,E6E70F,-113.9047783933518
13612,E6E7B8,-113.89307479224377
13613,E6E90A,-113.86966759002769
13614,E6E9B3,-113.85796398891966
13615,E6EB05,-113.83455678670362
13616,E6EBAE,-113.82285318559556
13617,E6ED00,-113.7994459833795
13618,E6EDA9,-113.78774238227147
13619,E6EEFB,-113.7643351800554
13620,E6EFA4,-113.75263157894737
13621,E6F04D,-113.74092797783933
